username,date,tweet,existence,existence.confidence
ollyrobot,16/05/2023 16:16,Immigration Reform and Climate Change: A Tale of Two Issues in the Senate http://ow.ly/17bSpj,NA,1
kussyoffline,16/05/2023 16:15,Climbing Out Of The Dark: Social Justice Replaces Global Warming!: Climate change hanging on by it's fingernails. ... http://bit.ly/aqe34x,N,0.6649
DanielleMorrill,16/05/2023 15:18,I'd like to know who gives a rat's ass if immigration comes before climate change. DO YOUR JOBS regardless of ORDER. #childrenactbetter,Y,0.6275
AWolfeful,16/05/2023 14:41,Brooke Shields Upset With Reports That Global Warming Doesn't Exist http://bit.ly/aFInYX,NA,0.7043
VanTheBrand,16/05/2023 14:23,"That Actual Provide Utilizing Automatic Global trade Swapping : A ...: ... Climate Change, clinical trials collage... http://bit.ly/aRBLnV",NA,0.6821
basedspinach,16/05/2023 14:07,Brooke Shields Upset With Reports that Global Warming Doesn't Exist: FOXNews By Hollie McKay The subject of global... http://bit.ly/97GmSD,NA,0.6918
HAL_9_Thousand_,16/05/2023 13:46,Environmental Economics: Note to Environmentalists Part II: The climate change bill that was supposed to be unveil... http://bit.ly/btOPIX,Y,0.6551
vibeIords,16/05/2023 13:46,Environmental Economics: Note to Environmentalists Part II: The climate change bill that was supposed to be unveil... http://bit.ly/btOPIX,NA,0.7281
youdfallapart,16/05/2023 13:45,"Only a Third of Americans Believe Global Warming is Human-Caused: By Bob Ellis on April 26th, 2010 Good news! What... http://bit.ly/9XGqPB",N,0.4558
kjuxov,16/05/2023 13:43,"Podcast. Climate Change, Immigration Reform and California http://bit.ly/aWsg41 on To The Point",NA,1
saidltsosadly,16/05/2023 13:40,"Geoff Jenkins, chairman of the United Nations Intergovernmental Panel on Climate Change http://ping.fm/o1wZy",NA,0.664
ericbahn,16/05/2023 13:33,"Retuning Of Love : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip art, clothes, clo... http://bit.ly/bfMS9S",NA,0.6486
DJFreedomRocket,16/05/2023 13:19,Fox News Watch Cites Media Research Center Study on Global Warming Coverage http://bit.ly/bpgJt1,NA,1
cereliayuna,16/05/2023 11:14,Fox News Watch Cites Media Research Center Study on Global Warming Coverage: By Kyle Drennen (Bio | Archive) On Sa... http://bit.ly/cEE7IS,NA,0.6781
thecolbyday,16/05/2023 10:16,Graham's exit puts climate change bill in limbo (@cnn) http://bit.ly/8YZ1NB,NA,0.675
DaveOshry,16/05/2023 10:06,Soccer fever hits Namibia on global warming - by Carlos Kambaekwa: New Era OMUTHIYA - The chairman of the NFA Oshi... http://bit.ly/aCYAaa,NA,1
Sentdex,16/05/2023 10:05,via @cnnbrk cnnbrk: Graham's exit from talks puts climate change bill in limbo http://on.cnn.com/cG18SD http://ow.ly/17aWHl,NA,0.697
duckybhai,16/05/2023 09:10,Graham's exit from talks puts climate change bill in limbo: A climate-change bill that was scheduled to be unvei... http://twurl.nl/0ro0hd,NA,0.6792
somewheresy,16/05/2023 08:37,Graham's exit from talks puts climate change bill in limbo: A climate-change bill that was scheduled to be unveile... http://bit.ly/dmbd8y,NA,0.6543
TFankawaii,16/05/2023 06:48,Graham's exit from talks puts climate change bill in limbo http://ow.ly/17aWdx,NA,0.7
Plinz,16/05/2023 05:22,ADVENTURES IN EPISTEMIC OPENING: Mark Levin vs Jim Manzi on Global Warming: The fancy phrase •À_epistemic closure•À_ m... http://bit.ly/cKfL0U,NA,0.6831
SteveMoser,16/05/2023 04:23,Senate dispute puts climate legislation on hold|Associated Press WASHINGTON ? Long-awaited climate change .. http://oohja.com/xbEh4,NA,1
JellyfshFortuna,16/05/2023 03:57,Global warming: The Oxburgh Inquiry was an offer he couldn't refuse.: When Lord Oxburgh was requested to chair the... http://bit.ly/bTBuq9,NA,0.5933
thetimescales,16/05/2023 03:19,Gawker: Logic Report: Lindsey Graham's Climate Change Bill Flip-Flop [Polidicks]: •À_ http://bit.ly/cGr6UV,NA,1
redd_orsmthn,16/05/2023 03:06,"A Simple Guide To Head Shaving : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip art... http://bit.ly/9VfRCV",NA,0.7881
myelessar,16/05/2023 02:43,(UIY) Climate bill placed on hold over Senate dispute (AP): AP - Long-awaited climate change legislation was ... http://bit.ly/9oBCRS,Y,0.6554
ramez,16/05/2023 02:37,(UIY) Climate bill placed on hold over Senate dispute (AP): AP - Long-awaited climate change legislation was ... http://bit.ly/cJlXu6,Y,0.6563
WeaponNR,16/05/2023 01:29,Climate Bill Placed on Hold Over Senate Dispute|WASHINGTON -- Long-awaited climate change legislation was put on .. http://oohja.com/xbzIK,NA,1
covidatemybeard,16/05/2023 01:16,"Americans Dont Give A **** About Global Warming, Survey Says: Retail investors from cities other than in the US fe... http://bit.ly/aIPLJY",N,0.3782
AlgodTrading,16/05/2023 00:57,Will Indigenous People Be Included in UN Climate Change Policies? http://bit.ly/bqWPfn,NA,0.6523
ikissbeckett,16/05/2023 00:42,"via @cnnbrk cnnbrk: Sen. Graham's move imperils Dems' push for immigration, climate change bills. http://on.cnn.com... http://ow.ly/17afJp",NA,0.6965
RedEaglePatriot,16/05/2023 00:14,THR: Climate bill gives polluter and nuclear breaks - WASHINGTON (Reuters) - The U.S. climate change bill expected ... http://ow.ly/17acnj,NA,0.692
coopercooperco,16/05/2023 00:06,Global Warming: The New Ombudsman? | Eurasia Review: By Sonali Huria for IPCS Global warming has purportedly put t... http://bit.ly/dyvNuZ,NA,1
mckaywrigley,15/05/2023 23:59,@WordtotheBrides Just read your blog! And 1) Awesome 2) Who holds a climate change conference in Cancun?,NA,0.6479
Logo_Daedalus,15/05/2023 23:56,Brochure on Global Warming 1992: Brochure on Global Warming 1992 added by: neham 0 comments http://bit.ly/bbxgVF,Y,0.652
Noahpinion,15/05/2023 23:20,Global Warming of the Heart: Earth Day is over. Or is it? Thousands -- perhaps millions -- of conscious actions t... http://huff.to/a3OCsr,Y,0.762
CPAutoScribe,15/05/2023 22:50,THR: Climate bill gives polluter and nuclear breaks - WASHINGTON (Reuters) - The U.S. climate change bill expected ... http://ow.ly/179M6l,NA,0.7826
MichaelBerrySho,15/05/2023 22:21,"Fat Loss Program : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip art, clothes, clo... http://bit.ly/93lqRb",NA,1
postanika,15/05/2023 21:57,"In climate data, that ""suggests"" global warming, and then the assumption that it is our doing. http://bit.ly/as44kV",N,0.4952
Yelix,15/05/2023 21:56,"WASHINGTON - The term Green Movement was not yet in vogue, and there was little talk of combating global warming. http://bit.ly/9lBWqk",NA,1
DaveRapoza,15/05/2023 21:41,"TFF 2010: Jessica Alba, Brian Hill Talk 'Climate of Change' http://bit.ly/9shhJC",NA,0.6298
soulfirephoen1x,15/05/2023 20:10,"Natives gather in Bolivia to criticize ""Copenhagen club."" http://www.bluecorncomics.com/2010/04/climate-change-conference-in-bolivia.htm",Y,0.6638
geddski,15/05/2023 19:31,Money | The Graham-Kerry-Lieberman global warming bill faces a hostile climate ...: World Magazine AP/Photo by Har... http://bit.ly/dq4Ptw,NA,1
alexandr_wang,15/05/2023 19:23,WASHINGTON - There was no green movement yet and little talk of global warming. http://bit.ly/a3gT4D,NA,0.6593
GaryMarcus,15/05/2023 19:10,Check this video out -- George Carlin on Global Warming http://youtu.be/qOOc5yiIWkg,NA,1
CaseyExplosion,15/05/2023 18:58,RealClearPolitics - Global Warming Panic Attack: With the Senate about to begin a long-awaited debate over energy ... http://bit.ly/bQsUCa,N,0.4718
asemota,15/05/2023 18:01,RT @Earth_News: Guardian: Climate scientist sues newspaper for 'poisoning' global warming debate http://bit.ly/bk55t0,NA,1
HanaMichels,15/05/2023 17:33,Live #ChapmanU Climate Conference:  Exciting! Climate debate coming up at 4:30.  Causes pf climate change?   http://bit.ly/9Dg5oZ #CUBeyond,Y,0.6422
lastpositivist,15/05/2023 16:46,Looks like some ppl just gave some more $fuel$ to slow down the California global warming law #AB32. http://bit.ly/9lyXFj,Y,0.6733
DoggieDiamonds,15/05/2023 16:33,"In November of 2008, I really wouldn't have predicted that immigration reform might move before climate-change legislation. /via @ezraklein",Y,0.6546
jamescham,15/05/2023 16:19,Global warming probability poll update: OCRegister (blog) And my favorite: 39 times as many people believe our bel... http://bit.ly/da36uw,NA,0.6912
BlackRock,15/05/2023 15:57,RT @LAist: Photos: Protesters Take on Valero Over Initiative that Would Change California's Landmark Climate Bill: http://bit.ly/cLllUE,NA,0.68
J_Dot_J,15/05/2023 15:33,LAist| Protesters Take on Valero Over Initiative that Would Change California's Landmark Climate Bill: •À_•À_•À_•À_•À_•À_•À_For ... http://bit.ly/d3bdPr,NA,1
GlRLS0NFILMS,15/05/2023 15:25,"Co-host Meredith Vieira talking about global warming on NBC•À_s Today , January 8, 2007. http://bit.ly/bItzbs",NA,0.5179
desert_starr_57,15/05/2023 15:19,[CAMPAIGN] ASA dismisses complaints against DfT climate change ad: LONDON - The Advertising Standards Authority (A... http://bit.ly/at6G0n,NA,1
_Lost_letters_,15/05/2023 15:18,"RT @globetrottgirl I'm doing my part in contributing to both global warming and depletion of the ozone layer. I'm hot and sometimes, I fart.",N,0.6481
sloppyjanemusic,15/05/2023 15:08,From The Christian Post: Methodist clergy listens to members on climate change. http://bit.ly/95wK9O,Y,0.6818
jadawadas,15/05/2023 15:05,"**PLS SMILE, OK?** Climate change and human health studied: BETHESDA, Md., April 22 (UPI) -- The US National Insti... http://bit.ly/dvzWKl",NA,0.723
_jasonwei,15/05/2023 14:53,#climate of Change @tribeca film festival and on demand. #earthday #p2 http://bit.ly/bMQgOt,NA,1
riotgrandma72,15/05/2023 14:42,[BRANDREP] ASA dismisses complaints against DfT climate change ad: LONDON - The Advertising Standards Authority (A... http://bit.ly/awuOKV,NA,1
shl,15/05/2023 14:33,Climate scientist sues newspaper for 'poisoning' global warming debate: Andrew Weaver with the IPCC's 2007 report ... http://bit.ly/bjpymP,NA,0.6901
thomharp,15/05/2023 13:57,State anti-global warming bill probably dead http://bit.ly/9DqJiX,NA,1
aadip,15/05/2023 13:43,"Don't be swayed by distraction of climate change, treat Earth responsibly. #EarthDay",NA,0.6458
d_day_art_,15/05/2023 13:22,"Global Warming : Fiction or fact?: Deniers claim either that there is no global warming, or that it is not due to ... http://bit.ly/c2ANla",NA,0.7246
lilycnft,15/05/2023 13:21,RT @TheBCast: The B-Cast Interview: Minnesotans for Global Warming' Fight YouTube Takedowns http://ow.ly/178ywU,Y,1
ChucklesBFinn,15/05/2023 13:12,"State's Global Warming Bill May Not Have Votes to Pass: MADISON, Wis. (WTAQ) - There might not be enough votes in ... http://bit.ly/aslseK",NA,1
Neuro_Skeptic,15/05/2023 12:48,RT @PIPIL4LIFE: Solar activity and climate change http://www.tmgnow.com/repository/solar/lassen1.html,NA,1
dwayne_media,15/05/2023 12:32,Video: Larry Brilliant on the volcano and climate change http://bit.ly/bPBwq8,NA,0.7013
FurnessColin,15/05/2023 12:13,Global warming bill likely dead: By Jason Stein and Patrick Marley of the Journal Sentinel Madison •À_ A bill to cut... http://bit.ly/9SwlPf,NA,1
JustEsBaraheni,15/05/2023 12:11,Fishing from the Other Side of the Boat (Creation Sunday Sermon on Christianity and Global Warming) http://ow.ly/1B49N,NA,0.7028
MadamMoneySays,15/05/2023 11:49,Getting into Hot Water: Evangelicals and Global Warming: by Benjamin B. Phillips Since 2000 various evangelical gr... http://bit.ly/a3NFsV,NA,0.6897
Hasaki_Inu,15/05/2023 11:21,Global Warming = Mobile Phones? http://bit.ly/9p1EQ0,NA,1
MadonnaOTS,15/05/2023 11:21,Betting on climate change http://bit.ly/bI3hjG,NA,0.6611
SilvestriChris,15/05/2023 11:02,Volcanic Eruptions Global Warming:: Lacerta knew he imperforate to go to milwaukee to suavely be centrifugal to er... http://bit.ly/aGf3cW,NA,0.5148
oldbooksguy,15/05/2023 10:56,"Wed 4/21 #ChapmanU Climate Change confab opens w/film nite at Knott Studios, 7pm: Into the Arctic, Living Sea. Free. http://bit.ly/d5V8Dp",Y,1
robertwiblin,15/05/2023 10:38,Opponents ramp up effort to delay Calif. global warming law http://bit.ly/9eOUGM,NA,0.7195
milkshakemarket,15/05/2023 10:14,How many are aware of the World People's Conference On Climate Change and Earth Rights in Bolivia #EarthWeek #Indigenous #1stNations,NA,0.6073
robertskmiles,15/05/2023 08:09,Foes of California's global warming law pour money into a campaign to delay it http://lat.ms/cwIF6b,Y,0.6641
loudoun,15/05/2023 07:10,Foes of California's global warming law pour money into a campaign to delay it http://lat.ms/cwIF6b,N,0.398
sBinnalla64,15/05/2023 05:49,"OK, that last part was a joke, but here is the latest ranking for the UN Climate Change panel.  http://tinyurl.com/y2htvtz",Y,0.649
ChrisUKSharp,15/05/2023 05:05,Sorry I won't be able to accept the invitation to be a panelist at Bolivia Climate Change Talks http://tinyurl.com/y6ezeaw,NA,0.6643
TrentahRaihanah,15/05/2023 05:00,"Iceland Volcano Vs. Alternative Energy and Global Warming (FSLR, PBW, PEIX) http://bit.ly/b10Y96",NA,0.6812
kj_charles,15/05/2023 04:43,RT @latimes: Foes of California's global warming law pour money into a campaign to delay it http://lat.ms/bSpqIX,Y,0.5324
peeleraja,15/05/2023 04:37,Foes of California's global warming law pour money into a campaign to delay it http://lat.ms/bSpqIX,Y,0.4819
Aaron_____Davis,15/05/2023 04:18,RT @ sharifkouddous Indigenous groups from across Bolivia arriving at World People's conference on climate change http://twitpic.com/1gtfje,NA,0.6639
IllustrateLucy,15/05/2023 04:00,"effects of global warming •À_ We Are God's Caretakers by Cory L. Kemp: An Inconvenient Truth, the documentary and bo... http://bit.ly/9mYR9m",Y,0.6582
Tim_Oldland,15/05/2023 03:10,"Dollars, Sense and Climate Change http://getu.in/8pm-",NA,0.7198
nonmayorpete,15/05/2023 02:52,Foes of California's global warming law pour money into a campaign to delay it http://lat.ms/94MdLJ,NA,1
Digtzy,15/05/2023 00:34,Foes of California's global warming law pour money into a campaign to delay it http://goo.gl/fb/Mn3Q8,NA,1
granawkins,15/05/2023 00:18,"Global Warming Bill Expected Next Monday: Senators John Kerry, Lindsey Graham and Joseph Lieberman are expected to... http://bit.ly/dkJiqP",NA,0.6688
yooongarine,15/05/2023 00:07,Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... http://bit.ly/9PN5oF,NA,0.6561
RachelShukert,15/05/2023 00:05,Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... http://bit.ly/9PN5oF,Y,1
algekalipso,14/05/2023 23:33,#KCRW GoodFood Blog: Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes http://bit.ly/cdq1ZJ,Y,1
Nyadnar17,14/05/2023 23:31,"Great article  http://www.thenation.com/doc/20100503/hari  google methane deposits, global warming",Y,0.5349
SwiftOnSecurity,14/05/2023 23:04,Commonsense & Wonder: Global warming needed here: http://www.wunderground.com/cgi-bin/findweather/getForecast?quer... http://bit.ly/bSjbWu,NA,0.6328
hellokostya,14/05/2023 21:44,"Global Warming Science: Global Warming Summary. The Summary [updated 2009/08/16]. The Simplified "" Nutshell"" [upda... http://bit.ly/aP1xII",Y,0.6563
writerbxtch,14/05/2023 21:35,Contra Costa Times editorial: Assess global warming with uncensored science ...: THE DEBATE over global warming ha... http://bit.ly/9ehI0Z,NA,0.6814
mcuban,14/05/2023 20:47,Global warming: Balancing quotes: There are some who are saying that because the Oxburgh inquiry didn't come back ... http://bit.ly/9XiQNo,NA,0.7483
Miles_Brundage,14/05/2023 20:44,"Ben Bova: In the news ... global warming, stock market and Earth Day: By BEN BOVA One swallow does not a summer ma... http://bit.ly/aTrkc8",Y,0.635
zephyrmetalwing,14/05/2023 19:48,PODCAST: Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes http://bit.ly/d7YCKu #KCRW's Good Food,Y,1
IamJackBoot,14/05/2023 19:08,Climate Change Initiatives http://ow.ly/1zEjO,Y,0.67
calebsaysthings,14/05/2023 18:44,Greenhoof •À_ Blog Archive •À_ From tobacco to climate change ... http://bit.ly/akxgIb,NA,0.6776
SMB_Attorney,14/05/2023 18:43,Pavley predicts ballot measure will aim to overturn global warming law http://bit.ly/bDPnZ2,NA,0.6858
JacksonRickun,14/05/2023 18:30,"County disputes global warming: By Laura London, Staff Writer The Otero County Commission had an involved discussi... http://bit.ly/blxlra",N,0.6603
buccocapital,14/05/2023 18:06,"What Do You Think Of Global Warming? - Find Answers to this Question: Answers to the question, What Do You Think O... http://bit.ly/cPGPAx",NA,1
liron,14/05/2023 17:11,It looks like a new climate change bill is going to be introduced in the Senate a week from Monday.  Not sure the... http://bit.ly/bGpGgg,NA,1
C_Kavanagh,14/05/2023 17:06,New strategy for Senate's climate bill leaves out global warming: Global warming policy is no longer driving compr... http://bit.ly/cdQivZ,NA,0.6893
thoughtfulbae,14/05/2023 16:47,Cuccinelli files motion to force EPA to reopen global warming finding: Virginia Attorney General Ken Cuccinelli ha... http://bit.ly/d8dxzN,Y,0.5495
justintrimble,14/05/2023 16:44,"My mind is not closed re global warming. The opposite. I want evidence on BOTH SIDES presented fairly, so We can judge, not Uncle Gorey.",NA,0.6753
sketchy4kechi,14/05/2023 16:15,What to Do When the Current Climate Change Legislation Threatens to Do More Harm Than Good http://bit.ly/97GSgN,NA,0.6866
BackwoodHokage,14/05/2023 16:08,"Gov. Christie Cuts NJ's Global-Warming Fund: Gov. Chris Christie is taking $65 million, the entire allocation, fro... http://bit.ly/bEYHIb",NA,1
icreatelife,14/05/2023 15:39,C3: New Mexico's Democrats/Liberals Push Global Warming ...: Read here. Despite the US government temperature data... http://bit.ly/9Ll4YC,N,0.6969
Ressniee,14/05/2023 15:24,Global Warming Measurements Don't Account For 'Missing Heat' http://bit.ly/byIM9l,N,0.6519
t3dotgg,14/05/2023 15:21,Volcanic ash an air traffic-stopper but not a climate or health hazard: Unless there's a big change in the amount ... http://lat.ms/aGCW22,NA,1
jdan,14/05/2023 15:15,"Who Cares About Global Warming?: by Jackie Gingrich Cushman In 1971, I joined my parents and older sister in the s... http://bit.ly/d8T9Js",N,0.6078
YosarianTwo,14/05/2023 15:03,The climate is worsening for a debate on global warming: That's why the University of East Anglia's Climate Resear... http://bit.ly/dxxOgU,NA,0.7019
JJ_McCullough,14/05/2023 14:41,RT @JulesBeaujolais: Hilarious! Complimenti! RT: @expatina: Baked Alakasa: Sarah Palin's Guide To Global Warming    #tcottv,Y,0.6559
lndian_Bronson,14/05/2023 14:37,Hilarious! Complimenti! RT: @expatina: Baked Alakasa: Sarah Palin's Guide To Global Warming    #tcottv,NA,0.6239
Arthemort,14/05/2023 14:32,"@Heritage Global Warming, Melting Glaciers and Prohibition  http://tinyurl.com/y7rw3y8",Y,0.6557
_bloodbunny,14/05/2023 14:17,"Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" http://bit.ly/bnr4mF",N,1
saywhatagain,14/05/2023 14:02,Wisconsin's scaled-back global warming bill unveiled | Alternative ... http://bit.ly/d8FFDf,NA,0.6564
RVAReid,14/05/2023 13:25,@AG_323 ur tweet about #drakeseyebrows causing global warming lol,NA,1
primalpoly,14/05/2023 12:20,"Ditch Cardio for Rapid Fat Loss : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip ar... http://bit.ly/cA5A9v",NA,1
RandomCorvid,14/05/2023 11:57,Nice. RT @Cubachi: Governor Christie will cut all $65 million from NJ's global warming fund http://is.gd/brylO,NA,0.6699
NotPenguino_,14/05/2023 11:40,The most expensive provisions of the governor's global warming task force remain in the new substitute amendment. http://bit.ly/d6yqIU,NA,0.6415
SuperSquidoodle,14/05/2023 11:34,"Bring Back The Hair That You Once Had With Nanogen's Nanofibers ...: ... Climate Change, clinical trials collagen,... http://bit.ly/9KA9IF",NA,0.8552
lottanumbers123,14/05/2023 11:30,Christie cutting $65 million for global warming prevention: BY TOM HESTER SR. Gov. Chris Christie is taking $65 mi... http://bit.ly/d2OnWj,NA,0.651
mikeaglover1,14/05/2023 10:53,"Don Blankenship Called Safety Regulators ""as Silly as Global Warming"" http://ow.ly/173j7l",N,1
markbradleyart,14/05/2023 10:48,Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' http://huff.to/as7elo,N,1
xrpmickle,14/05/2023 10:13,US Senators prepare compromise climate change bill http://bit.ly/b9poc3,NA,0.6479
sonyasupposedly,14/05/2023 08:07,Senators prepare compromise climate change bill | Reuters http://ow.ly/1xlm2,NA,0.6855
MechaMacGyver,14/05/2023 07:25,"Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... http://bit.ly/9Lolme",Y,0.4812
ZakugaMignon,14/05/2023 07:19,"Finding The Right Gifts To Give To Your Wedding Guests : A ...: ... Climate Change, clinical trials collagen, clin... http://bit.ly/as8l8m",NA,1
MohMaaja,14/05/2023 06:00,april showers on us......right now!  feels like winter? Global Warming?,N,0.6481
MrProWestie,14/05/2023 05:43,"Sunday Funnies: Stephen Colbert Moderates Global Warming Debate: By Noel Sheppard (Bio | Archive) In fairness, it ... http://bit.ly/cwzZnP",NA,0.6211
lauratwitty,14/05/2023 05:33,Comedy Central's Stephen Colbert on Tuesday actually moderated a debate about global warming. http://bit.ly/ceVmBm,NA,1
STYLERZ97,14/05/2023 05:12,"Baby Furniture ? Keeping Baby Safe : A Screaming •À_O•À_: ... Climate Change, clinical trials collagen, clinique, clip... http://bit.ly/ckrIzv",NA,0.7117
TheBoiSantana,14/05/2023 03:35,THR: Senators prepare compromise climate change bill - WASHINGTON (Reuters) - Six months after introducing a sweepi... http://ow.ly/172wPc,NA,0.6381
DesiJed,14/05/2023 03:16,"TV weathercasters divided on global warming|More than half believe phenomenon exists, but some say it's a \scam.\ .. http://oohja.com/xaHnX",NA,1
miiro_xp,14/05/2023 03:12,@bloodless_coup There's a link to Luntz' climate change memo here: http://bit.ly/bnchP1 #p2 #tcot,NA,1
ZakugaMignon,14/05/2023 03:10,A religious take on climate change http://bit.ly/a6TnDl,Y,0.5869
rebexxxxa,14/05/2023 01:35,"Minnesotans 4 Global Warming threatened with law suit over ""Hide The Decline"" video.Respond with new vid. http://is.gd/bLy8k @realalexjones",NA,0.6961
eyyitsfranklin,14/05/2023 01:28,"TV weathercasters divided on global warming|More than half believe phenomenon exists, but some say it's a \scam.\ .. http://oohja.com/xaHnu",NA,0.696
KatieMehera,14/05/2023 01:08,"Global warming conference set Sunday|Robert Bullard, known as the \Father of Environmental Justice,\ is a .. http://oohja.com/xc5d9",Y,0.6522
cumlasagna1,14/05/2023 01:02,"Global warming conference set Sunday|Robert Bullard, known as the \Father of Environmental Justice,\ is a .. http://oohja.com/xc58T",Y,0.673
Massawyrm,14/05/2023 01:00,"TV weathercasters divided on global warming|More than half believe phenomenon exists, but some say it's a \scam.\ .. http://oohja.com/xaHjo",NA,1
TheShort_End,14/05/2023 00:22,"@kennethsilber Doesn't your position assume man-made carbon(2.89% of atmosphere) causes Climate change? Today this is Untenable hypothesis,",N,0.6685
ZakugaMignon,14/05/2023 00:22,Where's the Real Roadblock to Climate Change and Clean Energy Legislation in the US? http://bit.ly/dBqhIg,Y,1
thvbluesky,13/05/2023 23:43,Where's the Real Roadblock to Climate Change and Clean Energy Legislation in the US? http://bit.ly/dBqhIg,Y,0.6417
lndian_Bronson,13/05/2023 23:43,#news Dissecting those 'Overpopulation' Numbers:  Part One ' Population Where?: Is global warming caused by too http://url4.eu/353hM,Y,1
GovRealDeal,13/05/2023 22:59,"For Greenpeace, 'Cool IT' means sensitivity to climate change, and Cisco is now tops: I know so... http://bit.ly/9vFxAk #greentech #greenit",Y,0.6801
soupinthering,13/05/2023 21:58,"For Greenpeace, 'Cool IT' means sensitivity to climate change, and Cisco is now tops http://zd.net/ahyzhy",Y,0.6677
Mar1Lark7,13/05/2023 21:24,@i2pi reminds me of this study by NYU prof on temperature and attitudes on climate change http://bit.ly/dwHiGw,NA,0.668
cryling_art,13/05/2023 20:48,Still believe in human-caused #Global #Warming? More information exposing the truth. #Hoboken #NJ http://cli.gs/6sY6y,N,0.3451
ambernoelle,13/05/2023 20:48,"RT @charles_baker 3,000 Businesses Create New Ad for Climate Change Action: http://bit.ly/cADHuR (via @FaisalSethi + @DoGoodHQ)",Y,0.6682
andrewwhite01,13/05/2023 20:10,EPA Points Out Climate Change Indicators: Public support for climate change legislation appears to be flagging.' P... http://bit.ly/cueEiI,Y,0.6951
rafsenal,13/05/2023 20:04,Where's the Real Roadblock to Climate Change and Clean Energy Legislation in the US? http://url4.eu/34tFU,Y,0.6651
primalpoly,13/05/2023 17:56,Where's the Real Roadblock to Climate Change and Clean Energy Legislation in the US? http://url4.eu/34tFS,NA,0.6615
ItsKaosSzn,13/05/2023 17:19,Where's the Real Roadblock to Climate Change and Clean Energy Legislation in the' http://goo.gl/fb/0B6ih #cleantech,Y,0.6536
Nash076,13/05/2023 17:15,Climate change you tube animation you will appreciate #climatechange #sgp http://is.gd/bLp94,NA,0.708
springrooove,13/05/2023 16:29,Pew Center on Global Climate Change Releases Report Calling for Federal Leadership on Climate Adaptation http://bit.ly/buyu3l,Y,0.634
TheChalis,13/05/2023 15:47,Pew Center on Global Climate Change Releases Report Calling for Federal Leadership on Climate Adaptation http://bit.ly/buyu3l #green #energy,Y,1
_akhaliq,13/05/2023 15:35,Watch Al Gore sweat--and it isn't related to global warming--great questions from Bill O'Reilly's Jesse Waters  http://bit.ly/cp2vJk,NA,0.6774
PlanetofFinks,13/05/2023 15:08,Letter: Global warming dilemma|Fifty years ago I was teaching and preaching about global warming and its .. http://oohja.com/xc0go,Y,0.6495
NecroKuma3,13/05/2023 15:04,Letter: Global warming dilemma|Fifty years ago I was teaching and preaching about global warming and its .. http://oohja.com/xc0bT,Y,1
NecroKuma3,13/05/2023 14:13,"International climate change liability, cont'd: More whetting of transnational-law appetites, via Mother Jones: ""A... http://bit.ly/dfQUax",NA,0.6235
androdamos,13/05/2023 14:12,Global warming: a market proposal even libertarians would love|Libertarians may debate the merits of global .. http://oohja.com/xbZha,N,0.5254
AdamBlumenau,13/05/2023 14:10,Global warming: a market proposal even libertarians would love|Libertarians may debate the merits of global .. http://oohja.com/xbZbw,Y,0.615
TheFutureSight,13/05/2023 14:01,RT @gb_Joe: The tolerant left: deny climate change and you'd be guilty of a crime against peace http://bit.ly/aFfkez,N,1
WorldClass_Rihh,13/05/2023 13:50,"Plan B: California Braces for Climate Change|California leads its fellow states in mitigating climate change, in .. http://oohja.com/xbYF4",Y,1
ScottAdamsSays,13/05/2023 13:50,At the #PEN talk on climate at Met. @Revkin offers a useful note of realism. Climate change is in our heads-and we need to change our heads,N,1
JohnLeFevre,13/05/2023 13:46,"@ggreenwald Don't forget Jon Kyl, world's most powerful global warming denier. Maybe 140 character limit kept him off your list.",N,0.6853
janetmachuka_,13/05/2023 13:10,"Plan B: California Braces for Climate Change: California leads its fellow states in mitigating climate change, in ... http://bit.ly/bkt3jv",Y,0.6758
stedecore,13/05/2023 13:08,"Plan B: California Braces for Climate Change: California leads its fellow states in mitigating climate change, in ... http://bit.ly/bkt3jv",Y,1
JTorreCoaching,13/05/2023 13:03,"John DeCock: The Secret Plan to Address Climate Change: If I'm lucky, this post will be outdated by the time it c... http://huff.to/a8sMDa",NA,0.6482
SoMK,13/05/2023 12:43,Can Global Warming Give You Kidney Stones? How Will Insurance Companies Deal With Rising Temperatures?: It's true... http://huff.to/brgCIm,Y,0.6628
SzMarsupial,13/05/2023 12:15,RT @yidwithlid: Nor A Joke US Govt's New Climate Change Claim: Global Warming Causes....Well...EVERYTHING http://is.gd/bLTaY,N,0.6661
XEXEEZY,13/05/2023 11:05,RT @gb_Joe: Global Warming sea level rise? Carbon footprint? Al Gore buys $9 million  estate by ocean http://bit.ly/bZKtRk,N,0.6443
